Year,GDP
1993,655804.6375
1994,683582.0125
1995,643906.2375
1996,684588.4874999999
1997,733534.7250000001
1998,778516.2250000001
1999,799593.925
2000,840617.9875
2001,833911.925
2002,831112.8999999999
2003,840229.0874999999
2004,870467.225
2005,888102.825
2006,930373.8
2007,951249.25
2008,958190.3999999999
2009,901568.0249999999
2010,949481.0375000001
2011,983730.7375
2012,1019913.1875
2013,1029584.3625
2014,1055388.6125
2015,1082369.175
2016,1101264.3625
2017,1121829.6375
2018,1143681.8
2019,1140266.2625
2020,1045508.3
2021,1102626.5
2022,1144430.125
2023,1180775.2875
